ticket_url,tags,tagger_id,ticket_id,is_expert,is_sumo
https://support.mozilla.org/questions/1276631,prefereces;ui;ux;rendering;linux;kde;search-bar;version;interface;button,1,1276631,0,0
https://support.mozilla.org/questions/1276635,phishing;scam;webcompat;freeze;froze;crash,1,1276635,0,0
https://support.mozilla.org/questions/1276636,html5;compat;video;render;html;technology;webcompat,1,1276636,0,0
https://support.mozilla.org/questions/1276637,crash;ubuntu;mac;tab;local;config;coruption;filesystem,1,1276637,0,0
https://support.mozilla.org/questions/1276638,proxy;credentials;authentication;config,1,1276638,0,0
https://support.mozilla.org/questions/1276639,fx71;local;filesystem;history;config;recovery;deletion;recovery;localdb,1,1276639,0,0
https://support.mozilla.org/questions/1276641,windows;vista;java;applet;third-party;printing,1,1276641,0,0
https://support.mozilla.org/questions/1276643,proxy;autoconfig;config;self-inflicted,1,1276643,0,0
https://support.mozilla.org/questions/1276647,video;crash;tab;unpin;new-windows;multi-screen;multi-dispaly;linux;linux-mint,1,1276647,0,0
https://support.mozilla.org/questions/1276649,address-bar;hide;ui;ux;search;serach-bar;fullscreen,1,1276649,0,0
https://support.mozilla.org/questions/1276650,bookmarks;sync;accounts;json;export;profile,1,1276650,0,0
https://support.mozilla.org/questions/1276651,Wikipedia;windows10;compat;webcompat;compatibility;website,1,1276651,0,0
https://support.mozilla.org/questions/1276653,privacy;font;render;website;compat;webcompat;WordPress,1,1276653,0,0
https://support.mozilla.org/questions/1276654,sync;android;tabs;profille;lost;recovery;restore;tabs,1,1276654,0,0
https://support.mozilla.org/questions/1276656,context-menu;mouse;keyboard;periferals;ui,1,1276656,0,0
https://support.mozilla.org/questions/1276662,pdf;viewer;fx71;windows10,1,1276662,0,0
https://support.mozilla.org/questions/1276666,accounts;account;credential;lock-out;lost-credentials;recovery,1,1276666,0,0
https://support.mozilla.org/questions/1276668,audio;devices;media;routing;config,1,1276668,0,0
https://support.mozilla.org/questions/1276672,accounts;account;credential,1,1276672,0,0
https://support.mozilla.org/questions/1276677,printing;print;website,1,1276677,0,0
https://support.mozilla.org/questions/1276679,bookmarks;sync;accounts;json;export;profile;multi-user;multi-account;shared-device,1,1276679,0,0
https://support.mozilla.org/questions/1276683,windows;opening;new-tab;bug;defect;duplicate;ui,1,1276683,0,0
https://support.mozilla.org/questions/1276685,linux;kde;ubuntu;filesystem;download;local,1,1276685,0,0
