ticket_url,tags,tagger_id,ticket_id,is_expert,is_sumo
https://support.mozilla.org/questions/1275313,71; ff71;captcha;whitepages.com;wfm;probably-not-a-firefox-problem,9,1275313,1,0
https://support.mozilla.org/questions/1273006,nvda;screen-reader;bug,9,1273006,1,0
https://support.mozilla.org/questions/1273093,bookmarks;search-suggestions;probably-not-a-firefox-problem,9,1273093,1,0
https://support.mozilla.org/questions/1276791,sync-not-working;sync;firefox-accounts;troubleshooting-details-missing,9,1276791,1,0
https://support.mozilla.org/questions/1274376,osx;osx-10-15-1;catalina;search-in-page;search-sound;sound,9,1274376,1,0
https://support.mozilla.org/questions/1275933,"download-manager;cannot-download-files;probably-not-a-firefox-problem
",9,1275933,1,0
https://support.mozilla.org/questions/1277076,search-engine;search-engine-hijack;yahoo-search-instead-of-google-search;yahoo;google;yahoo-search;google-search,9,1277076,1,0
https://support.mozilla.org/questions/1277133,"probably-not-a-firefox-problem;display-glitch
",9,1277133,1,0
https://support.mozilla.org/questions/1277796,sync; sync-broken;troubleshooting-details-missing,9,1277796,1,0
https://support.mozilla.org/questions/1275173,bookmarks;dataloss;troubleshooting-details-missing,9,1275173,1,0
https://support.mozilla.org/questions/1274896,pdf;two-pdfs,9,1274896,1,0
https://support.mozilla.org/questions/1274685,webcompat;lockwise;banking;probably-not-a-firefox-problem,9,1274685,1,0
https://support.mozilla.org/questions/1275793,"youtube;youtube-livestream;windows-10;works-on-osx
",9,1275793,1,0
https://support.mozilla.org/questions/1277276,ads;ad-blocker;nsfw;nsfw-ads,9,1277276,1,0
https://support.mozilla.org/questions/1274235,logitech;logitech-webcam;webcam,9,1274235,1,0
https://support.mozilla.org/questions/1275058,"youtube;youtube-ads;probably-not-a-firefox-proble
",9,1275058,1,0
https://support.mozilla.org/questions/1273094,linux;webgl;debian;webgl2-bug;webgl2;amd-hd-4200,9,1273094,1,0
https://support.mozilla.org/questions/1275987,online-pharmacy;ecommerce;ecommerce-bug;troubleshooting-details-missing; content-blocking,9,1275987,1,0
https://support.mozilla.org/questions/1271488,gmail;slowness;slow-cursor-focus,9,1271488,1,0
https://support.mozilla.org/questions/1274626,lockwise;login-suggestions-probably-not-a-firefox-problem,9,1274626,1,0
https://support.mozilla.org/questions/1275533,ff72;72;instagram;probably-not-a-firefox-problem;instagram-not-loading,9,1275533,1,0
https://support.mozilla.org/questions/1277053,osx;osx-10-15-1;catalina;search-in-page;browserconfig-properties;firefox-profiles,9,1277053,1,0
https://support.mozilla.org/questions/1276053,"windows7;windows7-pro;printer;laser-printer
",9,1276053,1,0
